Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;02 Albacete;79 años;Mujeres;1 de enero de 2019;1.001
Total Nacional;02 Albacete;80 años;Hombres;1 de enero de 2019;1.070
Total Nacional;02 Albacete;80 años;Mujeres;1 de enero de 2019;1.419
Total Nacional;02 Albacete;81 años;Hombres;1 de enero de 2019;1.160
Total Nacional;02 Albacete;81 años;Mujeres;1 de enero de 2019;1.456
Total Nacional;02 Albacete;82 años;Hombres;1 de enero de 2019;1.095
Total Nacional;02 Albacete;82 años;Mujeres;1 de enero de 2019;1.511
Total Nacional;02 Albacete;83 años;Hombres;1 de enero de 2019;1.045
Total Nacional;02 Albacete;83 años;Mujeres;1 de enero de 2019;1.445
Total Nacional;02 Albacete;84 años;Hombres;1 de enero de 2019;914
Total Nacional;02 Albacete;84 años;Mujeres;1 de enero de 2019;1.302
Total Nacional;02 Albacete;85 años;Hombres;1 de enero de 2019;891
Total Nacional;02 Albacete;85 años;Mujeres;1 de enero de 2019;1.336
Total Nacional;02 Albacete;86 años;Hombres;1 de enero de 2019;832
Total Nacional;02 Albacete;86 años;Mujeres;1 de enero de 2019;1.147
Total Nacional;02 Albacete;87 años;Hombres;1 de enero de 2019;723
Total Nacional;02 Albacete;87 años;Mujeres;1 de enero de 2019;1.077
Total Nacional;02 Albacete;88 años;Hombres;1 de enero de 2019;629
Total Nacional;02 Albacete;88 años;Mujeres;1 de enero de 2019;1.102
Total Nacional;02 Albacete;89 años;Hombres;1 de enero de 2019;519
Total Nacional;02 Albacete;89 años;Mujeres;1 de enero de 2019;884
Total Nacional;02 Albacete;90 años;Hombres;1 de enero de 2019;423
Total Nacional;02 Albacete;90 años;Mujeres;1 de enero de 2019;721
Total Nacional;02 Albacete;91 años;Hombres;1 de enero de 2019;337
Total Nacional;02 Albacete;91 años;Mujeres;1 de enero de 2019;578
Total Nacional;02 Albacete;92 años;Hombres;1 de enero de 2019;262
Total Nacional;02 Albacete;92 años;Mujeres;1 de enero de 2019;478
Total Nacional;02 Albacete;93 años;Hombres;1 de enero de 2019;189
Total Nacional;02 Albacete;93 años;Mujeres;1 de enero de 2019;374
Total Nacional;02 Albacete;94 años;Hombres;1 de enero de 2019;123
Total Nacional;02 Albacete;94 años;Mujeres;1 de enero de 2019;289
Total Nacional;02 Albacete;95 años;Hombres;1 de enero de 2019;95
Total Nacional;02 Albacete;95 años;Mujeres;1 de enero de 2019;203
Total Nacional;02 Albacete;96 años;Hombres;1 de enero de 2019;68
Total Nacional;02 Albacete;96 años;Mujeres;1 de enero de 2019;161
Total Nacional;02 Albacete;97 años;Hombres;1 de enero de 2019;39
Total Nacional;02 Albacete;97 años;Mujeres;1 de enero de 2019;104
Total Nacional;02 Albacete;98 años;Hombres;1 de enero de 2019;28
Total Nacional;02 Albacete;98 años;Mujeres;1 de enero de 2019;67
Total Nacional;02 Albacete;99 años;Hombres;1 de enero de 2019;23
Total Nacional;02 Albacete;99 años;Mujeres;1 de enero de 2019;43
Total Nacional;02 Albacete;100 y más años;Hombres;1 de enero de 2019;23
Total Nacional;02 Albacete;100 y más años;Mujeres;1 de enero de 2019;59
